ID,Name,Subject,Marks
S053,Vvvvv Ayyyyy,Chemistry,63
S054,Wwwww Bzzzzz,Maths,68
S055,Xxxxx Caaaaa,Science,73
S056,Yyyyy Dbbbbb,English,78
S057,Zzzzz Eccccc,Computer,83
S058,Aaaaa Fddddd,Physics,88
S059,Bbbbb Geeeee,Chemistry,93
S060,Ccccc Hfffff,Maths,98
S061,Ddddd Iggggg,Science,2
S062,Eeeee Jhhhhh,English,7
S063,Fffff Kiiiii,Computer,12
S064,Ggggg Ljjjjj,Physics,17
S065,Hhhhh Mkkkkk,Chemistry,22
S066,Iiiii Nlllll,Maths,27
S067,Jjjjj Ommmmm,Science,32
S068,Kkkkk Pnnnnn,English,37
S069,Lllll Qooooo,Computer,42
S070,Mmmmm Rppppp,Physics,47
S071,Nnnnn Sqqqqq,Chemistry,52
S072,Ooooo Trrrrr,Maths,57
S073,Ppppp Usssss,Science,62
S074,Qqqqq Vttttt,English,67
S075,Rrrrr Wuuuuu,Computer,72
S076,Sssss Xvvvvv,Physics,77
S077,Ttttt Ywwwww,Chemistry,82
S078,Uuuuu Zxxxxx,Maths,87
S079,Vvvvv Ayyyyy,Science,92
S080,Wwwww Bzzzzz,English,97
S081,Xxxxx Caaaaa,Computer,1
S082,Yyyyy Dbbbbb,Physics,6
S083,Zzzzz Eccccc,Chemistry,11
S084,Aaaaa Fddddd,Maths,16
S085,Bbbbb Geeeee,Science,21
S086,Ccccc Hfffff,English,26
S087,Ddddd Iggggg,Computer,31
S088,Eeeee Jhhhhh,Physics,36
S089,Fffff Kiiiii,Chemistry,41
S090,Ggggg Ljjjjj,Maths,46
S091,Hhhhh Mkkkkk,Science,51
S092,Iiiii Nlllll,English,56
S093,Jjjjj Ommmmm,Computer,61
S094,Kkkkk Pnnnnn,Physics,66
S095,Lllll Qooooo,Chemistry,71
S096,Mmmmm Rppppp,Maths,76
S097,Nnnnn Sqqqqq,Science,81
S098,Ooooo Trrrrr,English,86
S099,Ppppp Usssss,Computer,91
S100,Qqqqq Vttttt,Physics,96
S101,Rrrrr Wuuuuu,Chemistry,0
S102,Sssss Xvvvvv,Maths,5
S103,Ttttt Ywwwww,Science,10
S104,Uuuuu Zxxxxx,English,15
S105,Vvvvv Ayyyyy,Computer,20
S106,Wwwww Bzzzzz,Physics,25
S107,Xxxxx Caaaaa,Chemistry,30
S108,Yyyyy Dbbbbb,Maths,35
S109,Zzzzz Eccccc,Science,40
S110,Aaaaa Fddddd,English,45
S111,Bbbbb Geeeee,Computer,50
S112,Ccccc Hfffff,Physics,55
S113,Ddddd Iggggg,Chemistry,60
S114,Eeeee Jhhhhh,Maths,65
S115,Fffff Kiiiii,Science,70
S116,Ggggg Ljjjjj,English,75
S117,Hhhhh Mkkkkk,Computer,80
S118,Iiiii Nlllll,Physics,85
S119,Jjjjj Ommmmm,Chemistry,90
S120,Kkkkk Pnnnnn,Maths,95
S121,Lllll Qooooo,Science,100
S122,Mmmmm Rppppp,English,4
S123,Nnnnn Sqqqqq,Computer,9
S124,Ooooo Trrrrr,Physics,14
S125,Ppppp Usssss,Chemistry,19
S126,Qqqqq Vttttt,Maths,24
S127,Rrrrr Wuuuuu,Science,29
S128,Sssss Xvvvvv,English,34
S129,Ttttt Ywwwww,Computer,39
S130,Uuuuu Zxxxxx,Physics,44
S131,Vvvvv Ayyyyy,Chemistry,49
S132,Wwwww Bzzzzz,Maths,54
S133,Xxxxx Caaaaa,Science,59
S134,Yyyyy Dbbbbb,English,64
S135,Zzzzz Eccccc,Computer,69
S136,Aaaaa Fddddd,Physics,74
S137,Bbbbb Geeeee,Chemistry,79
S138,Ccccc Hfffff,Maths,84
S139,Ddddd Iggggg,Science,89
S140,Eeeee Jhhhhh,English,94
S141,Fffff Kiiiii,Computer,99
S142,Ggggg Ljjjjj,Physics,3
S143,Hhhhh Mkkkkk,Chemistry,8
S144,Iiiii Nlllll,Maths,13
S145,Jjjjj Ommmmm,Science,18
S146,Kkkkk Pnnnnn,English,23
S147,Lllll Qooooo,Computer,28
S148,Mmmmm Rppppp,Physics,33
S149,Nnnnn Sqqqqq,Chemistry,38
S150,Ooooo Trrrrr,Maths,43
